Usia,Status,Rata_rata_screen_time_perhari,Frekuensi_membuka_HP_perhari,Jumlah_aplikasi_media_sosial_aktif_yang_digunakan,Media_sosial_yang_sering_digunakan,Durasi_waktu_tidur_perhari,Jam_tidur,Tidur_larut_karena_sosial_media,Jam_waktu_belajar/bekerja_fokus_sehari,Sulit_fokus_tanpa_mengecek_HP,Sering_membuka_media_sosial_saat_belajar/bekerja,Merasa_cemas_jika_jauh_dari_HP,Sering_membuka_sosial_media_tanpa_tujuan_jelas,Penggunaan_media_sosial_mengganggu_belajar/kerja,Pernah_mencoba_mengurangi_penggunaan_media_sosial_namun_gagal,Tingkat_kecanduan_media_sosial_Anda
19,Mahasiswa,> 8 jam,20 - 50,5-6,"X/twitter, Youtube",5-7 jam,23:30,Sering sekali,2,Sedang,Sering,Iya,Iya,Tidak,Iya,Tinggi
24,Mahasiswa,4-6 jam,20 - 50,5-6,"Instagram, X/twitter, Threads",5-7 jam,1:00,Sering sekali,7,Sulit sekali,Sering sekali,Iya,Iya,Iya,Iya,Sedang
21,Mahasiswa,6-8 jam,50 - 100,> 7,"Instagram, X/twitter, Tiktok, Youtube, WhatsApp ",3-5 jam,2:00,Sering,4,Sedang,Sering,Iya,Iya,Tidak,Iya,Sedang
20,Mahasiswa,2-4 jam,20 - 50,1-2,"Instagram, Youtube",5-7 jam,0:00,Sering sekali,2,Sedang,Sering,Tidak,Iya,Iya,Iya,Sedang
54,Pekerja,< 2 jam,< 20,1-2,"Tiktok, Youtube",5-7 jam,22:00,Tidak pernah,3,Sangat mudah,Tidak pernah,Tidak,Tidak,Tidak,Tidak,Rendah
20,Mahasiswa,6-8 jam,< 20,3-4,"Instagram, X/twitter, Tiktok, Youtube",3-5 jam,3:00,Sering sekali,2,Sangat mudah,Jarang,Tidak,Iya,Iya,Tidak,Sedang
19,Mahasiswa,6-8 jam,20 - 50,3-4,X/twitter,5-7 jam,22:30,Sering,6,Sedang,Jarang,Tidak,Tidak,Tidak,Iya,Sedang
20,Mahasiswa,4-6 jam,50 - 100,5-6,Tiktok,5-7 jam,22:30,Sering,2,Sulit,Sering,Iya,Iya,Iya,Iya,Tinggi
16,Pelajar,6-8 jam,20 - 50,3-4,"Instagram, Tiktok",3-5 jam,21:00,Sering,2,Sedang,Sering,Tidak,Iya,Iya,Iya,Sedang
20,Mahasiswa,6-8 jam,20 - 50,3-4,"X/twitter, Tiktok",5-7 jam,22:30,Sering sekali,3,Sulit,Sering,Iya,Iya,Iya,Iya,Tinggi
20,Mahasiswa,2-4 jam,20 - 50,3-4,"Instagram, Tiktok",3-5 jam,1:30,Sering,2 -5,Sulit,Jarang,Iya,Iya,Tidak,Iya,Sedang
19,Mahasiswa,6-8 jam,20 - 50,1-2,Tiktok,5-7 jam,23:00,Sering,5,Sedang,Jarang,Tidak,Iya,Iya,Tidak,Sedang
19,Mahasiswa,6-8 jam,50 - 100,3-4,Youtube,5-7 jam,23:00,Sering,4,Sedang,Sering,Iya,Iya,Iya,Iya,Sedang
20,Mahasiswa,> 8 jam,20 - 50,3-4,"Instagram, X/twitter, Tiktok",3-5 jam,1:00,Sering,1,Sedang,Sering,Iya,Iya,Tidak,Tidak,Sedang
19,Mahasiswa,> 8 jam,20 - 50,5-6,"Instagram, Facebook, Youtube",5-7 jam,23:00,Jarang,4,Sulit,Sering,Tidak,Iya,Iya,Iya,Sedang
19,Mahasiswa,6-8 jam,50 - 100,3-4,"Instagram, X/twitter, Youtube",5-7 jam,22:00,Jarang,3,Mudah,Jarang,Iya,Tidak,Tidak,Iya,Rendah
